Term,Pronunciation,Context / Example Usage,Notes,Tags
post-secondary,,,,unclassified
potentially-interesting,,,,unclassified
Poulsen,,,,unclassified
PPIG,,,,unclassified
pre-/post-test,,,,unclassified
pre-AP,,,,unclassified
pre-tests,,,,unclassified
Problem-Solving,,,,unclassified
program-construction,,,,unclassified
Pyret-Racket,,,,unclassified
Pyret/Racket,,,,unclassified
Python's,,,,unclassified
Quanfeng,,,,unclassified
RacketPyret,,,,unclassified
recursive,,,,Common-term
returns--cannot,,,,unclassified
Rust,,,,Common-term programming-language
seemingly1,,,,unclassified
shown--does,,,,unclassified
shriram@brown.edu,,,,email
Siri,,,,unclassified
Stata,,,,unclassified
Struct1,,,,unclassified
Struct2,,,,unclassified
Structure-Mapping,,,,unclassified
subject's,,,,unclassified
subsequent-language,,,,unclassified
superbugs,,,,unclassified
Swidan,,,,unclassified
SymStr,,,,unclassified
TOCE,,,,unclassified
top-down,,,,unclassified
tshukudue@ub.ac.bw,,,,email
ture,,,,unclassified
twice-weekly,,,,unclassified
type-checking,,,,unclassified
UKICER,,,,unclassified
Upper-Level,,,,unclassified
Urbana-Champaign,,,,unclassified
user-defined,,,,unclassified
value--may,,,,unclassified
value-renderer,,,,unclassified
value-returning,,,,unclassified
Vieira,,,,unclassified
WiPSCE,,,,unclassified
Zilles,,,,unclassified
