Term,Pronunciation,Context / Example Usage,Notes,Tags
sub-case,,,,unclassified
sub-terms,,,,unclassified
Super-Combinators,,,,unclassified
Time-Optimal,,,,unclassified
Time/Space,,,,unclassified
trade-offs,,,,unclassified
Tsinghua,,,,unclassified
type-certificate,,,,unclassified
Type-Certificates,,,,unclassified
type-correctness,,,,unclassified
type-tagged,,,,unclassified
Tzialla,,,,unclassified
Ullrich,,,,unclassified
under-utilized,,,,unclassified
Vanishree,,,,unclassified
Vesely,,,,unclassified
Wahby,,,,unclassified
write-once,,,,unclassified
Y/N,,,,unclassified
Yatima's,,,,unclassified
Yevgeniy,,,,unclassified
Yuncong,,,,unclassified
Yuval,,,,unclassified
ZEXE,,,,unclassified
Ziegelmayer,,,,unclassified
zkEVM,,,,unclassified
zkInterface,,,,unclassified
ZKP,,,,unclassified
zkSNARKs,,,,unclassified
zkSync,,,,unclassified
zkVM,,,,unclassified
ZoKrates,,,,unclassified
