Term,Pronunciation,Context / Example Usage,Notes,Tags
duncan.attard@glasgow.ac.uk,,,,email
functional programming,,,,
Haskell,,,,Common-term programming-language
Id,,,,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
integer,,,,Common-term
IR ,I.R.,intermediate representation,,
Kokke,,,,
Krishnaswami,,,,
matching,,“pattern matching”,,Common-term
memory management,,,,Common-term
ML,,,,Programming-language
model checking,,Automatic theorem proving,,technique tool
modularity,,,,Common-term
MSFP@FSCD,,,,email
PLACES@ETAPS,,,,email
PLDI,,Conference,,Common-term
polymorphic,,,,Common-term
Power,,,,
quantifier,,,,Common-term
reduction relation,,,,
register,,,,
Rust,,,,Common-term programming-language
SCALA@ECOOP,,,,email
scalability,,,,
Semantic,,,,Common-term
simon.fowler@glasgow.ac.uk,,,,email
simon.gay@glasgow.ac.uk,,,,email
SMT solver,,Type of tool for solving SMT problems,,Tool
syntax-directed,,,,
Padovani,,,,unclassified
Yoshida,,,,unclassified
de'Liguoro,,,,unclassified
Neykova,,,,unclassified
Vasconcelos,,,,unclassified
emptyFuture,,,,unclassified
usage-annotated,,,,unclassified
Put[5,,,,unclassified
Nobuko,,,,unclassified
Vasco,,,,unclassified
ECOOP,,,,unclassified
channel-based,,,,unclassified
Comput,,,,unclassified
Ennals,,,,unclassified
Francalanza,,,,unclassified
FullFuture,,,,unclassified
JK,,,,unclassified
Kohei,,,,unclassified
Mostrous,,,,unclassified
multiset,,,,unclassified
Presburger,,,,unclassified
Tabone,,,,unclassified
unr,,,,unclassified
communication-centric,,,,unclassified
Crafa,,,,unclassified
Dagstuhl,,,,unclassified
Informatik,,,,unclassified
intToString,,,,unclassified
Leibniz-Zentrum,,,,unclassified
LIPIcs,,,,unclassified
master-worker,,,,unclassified
Session-Based,,,,unclassified
Session-typed,,,,unclassified
synthesisable,,,,unclassified
T-Sub,,,,unclassified
use-after-free,,,,unclassified
Zeilberger,,,,unclassified
actor-based,,,,unclassified
Brzozowski,,,,unclassified
ClientSend,,,,unclassified
Context-Free,,,,unclassified
E-Return,,,,unclassified
empty_future,,,,unclassified
Erdweg,,,,unclassified
first-order,,,,unclassified
inter-process,,,,unclassified
Kuci,,,,unclassified
Rumyana,,,,unclassified
Sagonas,,,,unclassified
self-deadlocks,,,,unclassified
T-New,,,,unclassified
T-Spawn,,,,unclassified
TC-Thread,,,,unclassified
Thudichum,,,,unclassified
TS-App,,,,unclassified
type-checking,,,,unclassified
Typestate-Oriented,,,,unclassified
Amadio,,,,unclassified
Bagherzadeh,,,,unclassified
Bjorner,,,,unclassified
Bollig,,,,unclassified
Bracevac,,,,unclassified
Chaudhuri,,,,unclassified
Christakis,,,,unclassified
Ciccone,,,,unclassified
ClientRecv,,,,unclassified
closed-form,,,,unclassified
correct-by-construction,,,,unclassified
Dardha,,,,unclassified
Denielou,,,,unclassified
DGs,,,,unclassified
Dunfield,,,,unclassified
E-App,,,,unclassified
E-Free,,,,unclassified
E-Let,,,,unclassified
E-New,,,,unclassified
E-Recv,,,,unclassified
E-Send,,,,unclassified
E-Spawn,,,,unclassified
Edlira,,,,unclassified
envs,,,,unclassified
finer-grained,,,,unclassified
Fournet,,,,unclassified
full_future,,,,unclassified
Funct,,,,unclassified
Gonthier,,,,unclassified
Huttel,,,,unclassified
initialises,,,,unclassified
J1K,,,,unclassified
Kamburjan,,,,unclassified
Kozen,,,,unclassified
Kubo,,,,unclassified
let-binding,,,,unclassified
Makoto,,,,unclassified
Ornela,,,,unclassified
Osvald,,,,unclassified
Parikh,,,,unclassified
Peer-to-peer,,,,unclassified
Pierre-Malo,,,,unclassified
PNF,,,,unclassified
Rajan,,,,unclassified
re-binding,,,,unclassified
real-world,,,,unclassified
Rouvoet,,,,unclassified
Scalas,,,,unclassified
side-effecting,,,,unclassified
single-reader,,,,unclassified
Spanier,,,,unclassified
synthesises,,,,unclassified
synthesising,,,,unclassified
T-App,,,,unclassified
T-Const,,,,unclassified
T-Guard,,,,unclassified
T-Let,,,,unclassified
T-Send,,,,unclassified
T-Var,,,,unclassified
Tasharofi,,,,unclassified
TC-Guard,,,,unclassified
TC-Let,,,,unclassified
TC-LetNoAnn1,,,,unclassified
TC-LetNoAnn2,,,,unclassified
TC-Message,,,,unclassified
TC-Nu,,,,unclassified
TC-Par,,,,unclassified
TC-Sub,,,,unclassified
TC-Subs,,,,unclassified
TC-Var,,,,unclassified
TCG-Fail,,,,unclassified
TCG-Free,,,,unclassified
TCG-Guards,,,,unclassified
TCG-Recv,,,,unclassified
TG-Fail,,,,unclassified
TG-Free,,,,unclassified
TG-GuardSeq,,,,unclassified
TG-Recv,,,,unclassified
top-down,,,,unclassified
Trinder,,,,unclassified
TS-Const,,,,unclassified
TS-New,,,,unclassified
TS-Spawn,,,,unclassified
2nd-class,,,,unclassified
AccountF,,,,unclassified
Actyx,,,,unclassified
Alayon,,,,unclassified
Andreia,,,,unclassified
Arjen,,,,unclassified
Aronis,,,,unclassified
Avik,,,,unclassified
Behaviourally-typed,,,,unclassified
Bejleri,,,,unclassified
Benussi,,,,unclassified
Bisimulations,,,,unclassified
bottom-up,,,,unclassified
Boudeville,,,,unclassified
Bravetti,,,,unclassified
Bruijn,,,,unclassified
Caires,,,,unclassified
Castellani,,,,unclassified
Chechina,,,,unclassified
client-server,,,,unclassified
coinductively,,,,unclassified
Communication-Based,,,,unclassified
conguard,,,,unclassified
currentlyevaluating,,,,unclassified
Deadlock-Free,,,,unclassified
domain-specific,,,,unclassified
E-Nu,,,,unclassified
E-Par,,,,unclassified
E-Struct,,,,unclassified
Eelco,,,,unclassified
ElixirST,,,,unclassified
EPSRC,,,,unclassified
Equi-Recursive,,,,unclassified
Essertel,,,,unclassified
Everybody's,,,,unclassified
explicitly-sequenced,,,,unclassified
explicitly-typed,,,,unclassified
Fabrizio,,,,unclassified
FASE,,,,unclassified
Fluet,,,,unclassified
Fork-join,,,,unclassified
FoSSaCS,,,,unclassified
fully-defined,,,,unclassified
Fundam,,,,unclassified
Gesbert,,,,unclassified
Get[user,,,,unclassified
Giachino,,,,unclassified
Gianluigi,,,,unclassified
glasgow.ac.uk,,,,unclassified
GoIn,,,,unclassified
GoOut,,,,unclassified
Habermehl,,,,unclassified
Hayo,,,,unclassified
Hridesh,,,,unclassified
ICALP,,,,unclassified
ICFEM,,,,unclassified
Ilaria,,,,unclassified
Informaticae,,,,unclassified
Interaction-based,,,,unclassified
intrinsically-typed,,,,unclassified
Janusz,,,,unclassified
Java's,,,,unclassified
Jiansen,,,,unclassified
Join-Calculus,,,,unclassified
K-Fork,,,,unclassified
Kaku,,,,unclassified
KFork,,,,unclassified
Kleene,,,,unclassified
Lanese,,,,unclassified
let-bind,,,,unclassified
let-binder,,,,unclassified
let-bindings,,,,unclassified
Leucker,,,,unclassified
lexing,,,,unclassified
LICS,,,,unclassified
Lilliam,,,,unclassified
linprin.pdf,,,,unclassified
LNCS,,,,unclassified
Mahmood,,,,unclassified
mailbox-oriented,,,,unclassified
many-sender,,,,unclassified
many-writer,,,,unclassified
Mascardi,,,,unclassified
Mehdi,,,,unclassified
Mendonca,,,,unclassified
message-passing,,,,unclassified
meta-function,,,,unclassified
micro-benchmarks,,,,unclassified
Monmege,,,,unclassified
Montesi,,,,unclassified
Mordido,,,,unclassified
Morrisett,,,,unclassified
multiple-writer,,,,unclassified
multisets,,,,unclassified
Mycroft,,,,unclassified
Nikolaj,,,,unclassified
non-empty,,,,unclassified
non-linear,,,,unclassified
non-mailbox-typed,,,,unclassified
PADL,,,,unclassified
Papaspyrou,,,,unclassified
parameterised,,,,unclassified
Parikh's,,,,unclassified
PartTaken,,,,unclassified
Pat's,,,,unclassified
Pat1,,,,unclassified
phil.trinder,,,,unclassified
pi-Calculus,,,,unclassified
PIDs,,,,unclassified
process-local,,,,unclassified
protocol-induced,,,,unclassified
quantifier-free,,,,unclassified
quasi-linearity,,,,unclassified
quasilinearity,,,,unclassified
Ravara,,,,unclassified
Request-reply,,,,unclassified
righthand-side,,,,unclassified
Rohit,,,,unclassified
Rompf,,,,unclassified
runtimes,,,,unclassified
Sangiorgi,,,,unclassified
Self-deadlock,,,,unclassified
Semigroups,,,,unclassified
semilinear,,,,unclassified
sessiontyped,,,,unclassified
set-of-multisets,,,,unclassified
single-receiver,,,,unclassified
sub-environments,,,,unclassified
subderivation,,,,unclassified
subderivations,,,,unclassified
subterms,,,,unclassified
supertype,,,,unclassified
T-Subs,,,,unclassified
TableIdle,,,,unclassified
TACAS,,,,unclassified
TAkka,,,,unclassified
Thielecke,,,,unclassified
Tiark,,,,unclassified
TS-Send,,,,unclassified
Tuosto,,,,unclassified
Typability,,,,unclassified
type-directed,,,,unclassified
Tzu-Chun,,,,unclassified
Un-annotated,,,,unclassified
Unnesting,,,,unclassified
unsynthesisable,,,,unclassified
Usage-ann,,,,unclassified
useAfterFree,,,,unclassified
variable-type,,,,unclassified
Vieira,,,,unclassified
Visser,,,,unclassified
WantLeave,,,,unclassified
Xilun,,,,unclassified
Zavattaro,,,,unclassified
Zenodo,,,,unclassified
